Index,Freq,e_real,e_loss,Matrix Mw,Treatment,Cryst_temp,Loading
1,1000000,2.6041,0.01998,4k,Quenched,,0.1
2,794330,2.6065,0.01936,4k,Quenched,,0.1
3,630950,2.6076,0.0186,4k,Quenched,,0.1
4,501180,2.6106,0.01825,4k,Quenched,,0.1
5,398100,2.6137,0.01779,4k,Quenched,,0.1
6,316220,2.616,0.01712,4k,Quenched,,0.1
7,251180,2.6182,0.01656,4k,Quenched,,0.1
8,199520,2.6205,0.0161,4k,Quenched,,0.1
9,158480,2.6228,0.01568,4k,Quenched,,0.1
10,125890,2.6249,0.01534,4k,Quenched,,0.1
11,99996,2.6272,0.01502,4k,Quenched,,0.1
12,79430,2.6294,0.01474,4k,Quenched,,0.1
13,63093,2.6317,0.01451,4k,Quenched,,0.1
14,50116,2.6339,0.01427,4k,Quenched,,0.1
15,39809,2.636,0.01412,4k,Quenched,,0.1
16,31621,2.6381,0.01397,4k,Quenched,,0.1
17,25117,2.6402,0.0138,4k,Quenched,,0.1
18,19951,2.6422,0.01368,4k,Quenched,,0.1
19,15848,2.6443,0.01354,4k,Quenched,,0.1
20,12588,2.6462,0.01345,4k,Quenched,,0.1
21,9999.3,2.6483,0.01338,4k,Quenched,,0.1
22,7942.7,2.6503,0.01331,4k,Quenched,,0.1
23,6309.1,2.6523,0.0133,4k,Quenched,,0.1
24,5011.5,2.6543,0.01326,4k,Quenched,,0.1
25,3980.7,2.6562,0.01329,4k,Quenched,,0.1
26,3162,2.6581,0.01335,4k,Quenched,,0.1
27,2511.6,2.6601,0.01342,4k,Quenched,,0.1
28,1995.1,2.6621,0.01354,4k,Quenched,,0.1
29,1584.7,2.6641,0.01369,4k,Quenched,,0.1
30,1258.8,2.6662,0.01382,4k,Quenched,,0.1
31,999.89,2.6683,0.01403,4k,Quenched,,0.1
32,794.24,2.6704,0.01426,4k,Quenched,,0.1
33,630.88,2.6724,0.01451,4k,Quenched,,0.1
34,501.13,2.6747,0.01479,4k,Quenched,,0.1
35,398.06,2.6767,0.01512,4k,Quenched,,0.1
36,316.19,2.6791,0.01544,4k,Quenched,,0.1
37,251.16,2.6814,0.01577,4k,Quenched,,0.1
38,199.5,2.6839,0.01612,4k,Quenched,,0.1
39,158.47,2.6864,0.01642,4k,Quenched,,0.1
40,125.87,2.689,0.01674,4k,Quenched,,0.1
41,99.986,2.6916,0.01701,4k,Quenched,,0.1
42,79.421,2.695,0.01721,4k,Quenched,,0.1
43,63.086,2.6971,0.01731,4k,Quenched,,0.1
44,50.111,2.6998,0.01744,4k,Quenched,,0.1
45,39.804,2.7024,0.01742,4k,Quenched,,0.1
46,31.618,2.705,0.01737,4k,Quenched,,0.1
47,25.115,2.7077,0.01717,4k,Quenched,,0.1
48,19.949,2.7104,0.01704,4k,Quenched,,0.1
49,15.846,2.7129,0.01679,4k,Quenched,,0.1
50,12.587,2.7153,0.01662,4k,Quenched,,0.1
51,9.9982,2.7177,0.01642,4k,Quenched,,0.1
52,7.9418,2.72,0.01634,4k,Quenched,,0.1
53,6.3084,2.7222,0.01622,4k,Quenched,,0.1
54,5.0109,2.7243,0.01639,4k,Quenched,,0.1
55,3.9803,2.7261,0.0168,4k,Quenched,,0.1
56,3.1616,2.7285,0.01731,4k,Quenched,,0.1
57,2.5114,2.7305,0.01789,4k,Quenched,,0.1
58,1.9949,2.7331,0.01868,4k,Quenched,,0.1
59,1.5846,2.7354,0.02009,4k,Quenched,,0.1
60,1.2587,2.7374,0.02105,4k,Quenched,,0.1
61,0.99978,2.7405,0.02266,4k,Quenched,,0.1
62,0.79415,2.7431,0.02458,4k,Quenched,,0.1
63,0.63082,2.7465,0.0267,4k,Quenched,,0.1
64,0.50107,2.7502,0.02998,4k,Quenched,,0.1
65,0.39802,2.7543,0.03194,4k,Quenched,,0.1
66,0.31615,2.7586,0.03488,4k,Quenched,,0.1
67,0.25113,2.7629,0.03829,4k,Quenched,,0.1
68,0.19948,2.7677,0.04141,4k,Quenched,,0.1
69,0.15845,2.774,0.04607,4k,Quenched,,0.1
70,0.12586,2.7815,0.05134,4k,Quenched,,0.1
71,0.09997,2.7877,0.05645,4k,Quenched,,0.1
72,0.07941,2.7965,0.06153,4k,Quenched,,0.1
73,0.06308,2.8063,0.06766,4k,Quenched,,0.1
74,0.0501,2.8148,0.07457,4k,Quenched,,0.1
75,0.0398,2.825,0.08089,4k,Quenched,,0.1
76,0.03161,2.8384,0.08632,4k,Quenched,,0.1
77,0.02511,2.8536,0.09603,4k,Quenched,,0.1
78,0.01995,2.8713,0.10359,4k,Quenched,,0.1
79,0.01584,2.888,0.11213,4k,Quenched,,0.1
80,0.01259,2.9074,0.12112,4k,Quenched,,0.1
81,0.01,2.9284,0.12821,4k,Quenched,,0.1
82,1000000,2.6472,0.01869,4k,Isothermal,105,0.1
83,794330,2.6494,0.01831,4k,Isothermal,105,0.1
84,630950,2.6505,0.01774,4k,Isothermal,105,0.1
85,501180,2.6536,0.01752,4k,Isothermal,105,0.1
86,398100,2.6567,0.01721,4k,Isothermal,105,0.1
87,316220,2.659,0.01666,4k,Isothermal,105,0.1
88,251180,2.6612,0.01618,4k,Isothermal,105,0.1
89,199520,2.6635,0.01579,4k,Isothermal,105,0.1
90,158480,2.6657,0.01545,4k,Isothermal,105,0.1
91,125890,2.6679,0.01514,4k,Isothermal,105,0.1
92,99996,2.6702,0.01486,4k,Isothermal,105,0.1
93,79430,2.6724,0.01465,4k,Isothermal,105,0.1
94,63093,2.6746,0.01444,4k,Isothermal,105,0.1
95,50116,2.6768,0.01421,4k,Isothermal,105,0.1
96,39809,2.6789,0.01408,4k,Isothermal,105,0.1
97,31621,2.681,0.01393,4k,Isothermal,105,0.1
98,25117,2.6831,0.01379,4k,Isothermal,105,0.1
99,19951,2.6852,0.01368,4k,Isothermal,105,0.1
100,15848,2.6873,0.01356,4k,Isothermal,105,0.1
101,12588,2.6892,0.01344,4k,Isothermal,105,0.1
102,9999.3,2.6913,0.01336,4k,Isothermal,105,0.1
103,7942.7,2.6933,0.0133,4k,Isothermal,105,0.1
104,6309.1,2.6954,0.01327,4k,Isothermal,105,0.1
105,5011.5,2.6973,0.01321,4k,Isothermal,105,0.1
106,3980.7,2.6992,0.01325,4k,Isothermal,105,0.1
107,3162,2.7012,0.01327,4k,Isothermal,105,0.1
108,2511.6,2.7032,0.01334,4k,Isothermal,105,0.1
109,1995.1,2.7052,0.01342,4k,Isothermal,105,0.1
110,1584.7,2.7073,0.01346,4k,Isothermal,105,0.1
111,1258.8,2.7093,0.0136,4k,Isothermal,105,0.1
112,999.89,2.7113,0.01376,4k,Isothermal,105,0.1
113,794.24,2.7134,0.01391,4k,Isothermal,105,0.1
114,630.88,2.7156,0.01399,4k,Isothermal,105,0.1
115,501.13,2.7177,0.01425,4k,Isothermal,105,0.1
116,398.06,2.7197,0.01446,4k,Isothermal,105,0.1
117,316.19,2.7219,0.01471,4k,Isothermal,105,0.1
118,251.16,2.7242,0.01493,4k,Isothermal,105,0.1
119,199.5,2.7264,0.01514,4k,Isothermal,105,0.1
120,158.47,2.7288,0.01531,4k,Isothermal,105,0.1
121,125.87,2.7312,0.01551,4k,Isothermal,105,0.1
122,99.986,2.7335,0.01568,4k,Isothermal,105,0.1
123,79.421,2.736,0.01586,4k,Isothermal,105,0.1
124,63.086,2.7384,0.01596,4k,Isothermal,105,0.1
125,50.111,2.741,0.01606,4k,Isothermal,105,0.1
126,39.804,2.7433,0.01618,4k,Isothermal,105,0.1
127,31.618,2.7458,0.01617,4k,Isothermal,105,0.1
128,25.115,2.7483,0.01614,4k,Isothermal,105,0.1
129,19.949,2.7508,0.01621,4k,Isothermal,105,0.1
130,15.846,2.7532,0.01615,4k,Isothermal,105,0.1
131,12.587,2.7557,0.01602,4k,Isothermal,105,0.1
132,9.9982,2.7581,0.01585,4k,Isothermal,105,0.1
133,7.9418,2.7603,0.01583,4k,Isothermal,105,0.1
134,6.3084,2.7626,0.01562,4k,Isothermal,105,0.1
135,5.0109,2.7648,0.01576,4k,Isothermal,105,0.1
136,3.9803,2.7668,0.01588,4k,Isothermal,105,0.1
137,3.1616,2.769,0.01606,4k,Isothermal,105,0.1
138,2.5114,2.7713,0.01659,4k,Isothermal,105,0.1
139,1.9949,2.7734,0.01723,4k,Isothermal,105,0.1
140,1.5846,2.7753,0.01779,4k,Isothermal,105,0.1
141,1.2587,2.7778,0.01867,4k,Isothermal,105,0.1
142,0.99978,2.7803,0.01975,4k,Isothermal,105,0.1
143,0.79415,2.7827,0.02113,4k,Isothermal,105,0.1
144,0.63082,2.7855,0.02285,4k,Isothermal,105,0.1
145,0.50107,2.7883,0.02506,4k,Isothermal,105,0.1
146,0.39802,2.7917,0.02686,4k,Isothermal,105,0.1
147,0.31615,2.7957,0.0297,4k,Isothermal,105,0.1
148,0.25113,2.7992,0.03254,4k,Isothermal,105,0.1
149,0.19948,2.8041,0.03506,4k,Isothermal,105,0.1
150,0.15845,2.8081,0.03935,4k,Isothermal,105,0.1
151,0.12586,2.8144,0.04397,4k,Isothermal,105,0.1
152,0.09997,2.8209,0.04852,4k,Isothermal,105,0.1
153,0.07941,2.8275,0.05412,4k,Isothermal,105,0.1
154,0.06308,2.8354,0.0601,4k,Isothermal,105,0.1
155,0.0501,2.8451,0.06688,4k,Isothermal,105,0.1
156,0.0398,2.8549,0.07299,4k,Isothermal,105,0.1
157,0.03161,2.8677,0.082,4k,Isothermal,105,0.1
158,0.02511,2.8814,0.08952,4k,Isothermal,105,0.1
159,0.01995,2.8973,0.09856,4k,Isothermal,105,0.1
160,0.01584,2.9151,0.10953,4k,Isothermal,105,0.1
161,0.01259,2.9346,0.12095,4k,Isothermal,105,0.1
162,0.01,2.9576,0.1328,4k,Isothermal,105,0.1
163,1000000,2.6138,0.0153,4k,Quenched,,0
164,794330,2.6149,0.01454,4k,Quenched,,0
165,630950,2.6154,0.01389,4k,Quenched,,0
166,501180,2.6185,0.01347,4k,Quenched,,0
167,398100,2.6208,0.01305,4k,Quenched,,0
168,316220,2.6223,0.01245,4k,Quenched,,0
169,251180,2.6238,0.01195,4k,Quenched,,0
170,199520,2.6254,0.01151,4k,Quenched,,0
171,158480,2.6268,0.01113,4k,Quenched,,0
172,125890,2.6283,0.01084,4k,Quenched,,0
173,99996,2.6299,0.01055,4k,Quenched,,0
174,79430,2.6315,0.01028,4k,Quenched,,0
175,63093,2.633,0.01005,4k,Quenched,,0
176,50116,2.6344,0.00989,4k,Quenched,,0
177,39809,2.6358,0.00974,4k,Quenched,,0
178,31621,2.6372,0.00959,4k,Quenched,,0
179,25117,2.6387,0.00946,4k,Quenched,,0
180,19951,2.6402,0.00935,4k,Quenched,,0
181,15848,2.6415,0.00924,4k,Quenched,,0
182,12588,2.6428,0.00916,4k,Quenched,,0
183,9999.3,2.6443,0.00908,4k,Quenched,,0
184,7942.7,2.6457,0.00902,4k,Quenched,,0
185,6309.1,2.6471,0.00898,4k,Quenched,,0
186,5011.5,2.6484,0.00896,4k,Quenched,,0
187,3980.7,2.6495,0.00898,4k,Quenched,,0
188,3162,2.6509,0.00901,4k,Quenched,,0
189,2511.6,2.6523,0.00905,4k,Quenched,,0
190,1995.1,2.6537,0.00913,4k,Quenched,,0
191,1584.7,2.6551,0.00921,4k,Quenched,,0
192,1258.8,2.6564,0.00931,4k,Quenched,,0
193,999.89,2.6579,0.00937,4k,Quenched,,0
194,794.24,2.6593,0.00949,4k,Quenched,,0
195,630.88,2.6608,0.00959,4k,Quenched,,0
196,501.13,2.6623,0.00971,4k,Quenched,,0
197,398.06,2.6636,0.00988,4k,Quenched,,0
198,316.19,2.665,0.01001,4k,Quenched,,0
199,251.16,2.6666,0.01017,4k,Quenched,,0
200,199.5,2.6682,0.01027,4k,Quenched,,0
201,158.47,2.67,0.0104,4k,Quenched,,0
202,125.87,2.6716,0.01047,4k,Quenched,,0
203,99.986,2.6732,0.01044,4k,Quenched,,0
204,79.421,2.6749,0.01046,4k,Quenched,,0
205,63.086,2.6766,0.0104,4k,Quenched,,0
206,50.111,2.6782,0.01032,4k,Quenched,,0
207,39.804,2.6798,0.01015,4k,Quenched,,0
208,31.618,2.6814,0.00995,4k,Quenched,,0
209,25.115,2.6829,0.00975,4k,Quenched,,0
210,19.949,2.6844,0.00959,4k,Quenched,,0
211,15.846,2.6859,0.00933,4k,Quenched,,0
212,12.587,2.6873,0.00918,4k,Quenched,,0
213,9.9982,2.6885,0.00889,4k,Quenched,,0
214,7.9418,2.6898,0.00893,4k,Quenched,,0
215,6.3084,2.6912,0.00865,4k,Quenched,,0
216,5.0109,2.6924,0.00869,4k,Quenched,,0
217,3.9803,2.6934,0.00861,4k,Quenched,,0
218,3.1616,2.6947,0.00876,4k,Quenched,,0
219,2.5114,2.6961,0.00897,4k,Quenched,,0
220,1.9949,2.6975,0.00912,4k,Quenched,,0
221,1.5846,2.6982,0.00938,4k,Quenched,,0
222,1.2587,2.7002,0.00992,4k,Quenched,,0
223,0.99978,2.7011,0.01025,4k,Quenched,,0
224,0.79415,2.7023,0.01091,4k,Quenched,,0
225,0.63082,2.7037,0.01148,4k,Quenched,,0
226,0.50107,2.7064,0.01179,4k,Quenched,,0
227,0.39802,2.7073,0.01213,4k,Quenched,,0
228,0.31615,2.711,0.01286,4k,Quenched,,0
229,0.25113,2.7105,0.01378,4k,Quenched,,0
230,0.19948,2.7142,0.01265,4k,Quenched,,0
231,0.15845,2.7149,0.01425,4k,Quenched,,0
232,0.12586,2.7198,0.01575,4k,Quenched,,0
233,0.09997,2.7225,0.01619,4k,Quenched,,0
234,0.07941,2.7237,0.01937,4k,Quenched,,0
235,0.06308,2.7275,0.01923,4k,Quenched,,0
236,0.0501,2.7294,0.01767,4k,Quenched,,0
237,0.0398,2.7335,0.01861,4k,Quenched,,0
238,0.03161,2.7356,0.01772,4k,Quenched,,0
239,0.02511,2.7423,0.01968,4k,Quenched,,0
240,0.01995,2.7464,0.0188,4k,Quenched,,0
241,0.01584,2.7505,0.01963,4k,Quenched,,0
242,0.01259,2.7534,0.02024,4k,Quenched,,0
243,0.01,2.7565,0.0182,4k,Quenched,,0
244,1000000,2.5401,0.01311,4k,Isothermal,105,0
245,794330,2.5415,0.01272,4k,Isothermal,105,0
246,630950,2.5417,0.01233,4k,Isothermal,105,0
247,501180,2.5435,0.01213,4k,Isothermal,105,0
248,398100,2.5457,0.01189,4k,Isothermal,105,0
249,316220,2.547,0.01141,4k,Isothermal,105,0
250,251180,2.5484,0.01102,4k,Isothermal,105,0
251,199520,2.5498,0.0107,4k,Isothermal,105,0
252,158480,2.5512,0.0104,4k,Isothermal,105,0
253,125890,2.5527,0.01016,4k,Isothermal,105,0
254,99996,2.554,0.00994,4k,Isothermal,105,0
255,79430,2.5554,0.00974,4k,Isothermal,105,0
256,63093,2.5569,0.0096,4k,Isothermal,105,0
257,50116,2.5582,0.00944,4k,Isothermal,105,0
258,39809,2.5595,0.00936,4k,Isothermal,105,0
259,31621,2.5608,0.00925,4k,Isothermal,105,0
260,25117,2.5622,0.00918,4k,Isothermal,105,0
261,19951,2.5635,0.00911,4k,Isothermal,105,0
262,15848,2.5649,0.00908,4k,Isothermal,105,0
263,12588,2.5662,0.00905,4k,Isothermal,105,0
264,9999.3,2.5674,0.00903,4k,Isothermal,105,0
265,7942.7,2.5688,0.00903,4k,Isothermal,105,0
266,6309.1,2.5701,0.00907,4k,Isothermal,105,0
267,5011.5,2.5713,0.00912,4k,Isothermal,105,0
268,3980.7,2.5725,0.00918,4k,Isothermal,105,0
269,3162,2.5738,0.0093,4k,Isothermal,105,0
270,2511.6,2.5752,0.00939,4k,Isothermal,105,0
271,1995.1,2.5766,0.00954,4k,Isothermal,105,0
272,1584.7,2.5781,0.0097,4k,Isothermal,105,0
273,1258.8,2.5796,0.00985,4k,Isothermal,105,0
274,999.89,2.5811,0.01002,4k,Isothermal,105,0
275,794.24,2.5826,0.01022,4k,Isothermal,105,0
276,630.88,2.5841,0.01039,4k,Isothermal,105,0
277,501.13,2.5856,0.01059,4k,Isothermal,105,0
278,398.06,2.587,0.01085,4k,Isothermal,105,0
279,316.19,2.5886,0.01118,4k,Isothermal,105,0
280,251.16,2.5902,0.01147,4k,Isothermal,105,0
281,199.5,2.5919,0.01175,4k,Isothermal,105,0
282,158.47,2.5937,0.01208,4k,Isothermal,105,0
283,125.87,2.5956,0.01235,4k,Isothermal,105,0
284,99.986,2.5975,0.01265,4k,Isothermal,105,0
285,79.421,2.5994,0.01291,4k,Isothermal,105,0
286,63.086,2.6015,0.01309,4k,Isothermal,105,0
287,50.111,2.6037,0.01316,4k,Isothermal,105,0
288,39.804,2.6057,0.01319,4k,Isothermal,105,0
289,31.618,2.6078,0.0131,4k,Isothermal,105,0
290,25.115,2.61,0.01289,4k,Isothermal,105,0
291,19.949,2.6121,0.01257,4k,Isothermal,105,0
292,15.846,2.6141,0.0121,4k,Isothermal,105,0
